[105, 66, 113, 30, 31, 26, 90]	1
[40, 26, 109, 28, 46, 124, 66]	1
[28, 96, 122, 66, 61, 74, 29]	1
[63, 49, 129, 29, 28, 90]	1
[120, 76, 90, 43, 52, 93, 62]	1
[32, 123, 14, 116, 47, 43, 80]	1
[31, 82, 120, 59, 126, 49]	1
[14, 28, 39, 62, 100, 87]	1
[35, 111, 28, 46, 8, 114, 85]	1
[35, 123, 29, 82, 90, 118, 75]	1
[116, 90, 20, 47, 98, 53]	1
[3, 109, 28, 112, 44, 98, 71]	1
[2, 59, 39, 41, 126, 100, 108]	1
[106, 98, 31, 39, 81, 62, 35]	1
[126, 18, 59, 82, 52, 3, 101]	1
[46, 82, 90, 124, 49, 109, 76]	1
[126, 1, 93, 44, 29, 102, 62]	1
[31, 2, 40, 85, 102, 46]	1
[43, 18, 95, 113, 99, 123, 105]	1
[90, 74, 56, 40, 15, 85]	1
[35, 123, 28, 87, 23, 127, 59]	1
[66, 130, 60, 123, 96, 83, 113]	1
[95, 76, 32, 91, 54, 43]	1
[112, 28, 87, 107, 62, 39, 29]	1
[31, 109, 99, 90, 3, 65, 96]	1
[46, 29, 95, 90, 114, 28]	1
[3, 44, 62, 109, 107, 95, 82]	1
[89, 107, 60, 35, 100, 53]	1
[127, 112, 121, 53, 70, 109, 41]	1
[40, 65, 107, 77, 98, 71, 47]	1
[76, 66, 120, 128, 41, 46]	1
[26, 120, 107, 65]	1
[109, 29, 76, 99, 28, 106]	1
[126, 31, 84, 102, 49, 27, 76]	1
[62, 86, 31, 106, 52, 76]	1
[45, 87, 55, 120, 95, 76, 31]	1
[118, 70, 8, 35, 60, 31, 29]	1
[49, 91, 120, 93, 36, 32, 76]	1
[127, 44, 28, 112, 23, 82, 71]	1
[32, 106, 102, 109, 44, 70, 40]	1
[62, 106, 82, 87, 126, 59, 44]	1
[121, 3, 31, 99, 47, 127, 29]	1
[52, 87, 76, 3, 28, 121]	1
[62, 32, 93, 81, 28, 115]	1
[98, 62, 87, 93, 47, 127, 1]	1
[34, 106, 81, 109, 59, 41, 126]	1
[72, 118, 113, 61, 28, 49, 106]	1
[46, 128, 39, 90, 55, 112, 59]	1
[55, 76, 112, 31, 118, 35, 98]	1
[43, 24, 112, 28, 29, 120]	1
[30, 70, 105, 90, 93, 39]	1
[44, 70, 127, 17, 95, 105, 109]	1
[122, 28, 105, 100, 35, 115]	1
[112, 81, 107, 53, 100, 39, 93]	1
[65, 35, 46, 115, 90, 130, 93]	1
[44, 38, 95, 41, 59, 28, 23]	1
[41, 30, 90, 115, 70, 4, 35]	1
[3, 106, 52, 109, 58, 43, 32]	1
[105, 29, 41, 46, 77, 40]	1
[62, 126, 32, 90, 49, 28, 44]	1
[124, 29, 76, 130, 46]	1
[40, 2, 31, 51, 70, 15, 89]	1
[28, 106, 39, 35, 87, 43, 115]	1
[35, 127, 9, 43, 39, 62, 1]	1
[62, 126, 32, 81, 39, 106, 3]	1
[53, 29, 36, 40, 88, 128, 28]	1
[70, 112, 40, 56]	1
[106, 35, 66, 118, 59]	1
[58, 114, 107, 121, 43, 41, 87]	1
[99, 29, 130, 35, 77, 109, 84]	1
[41, 47, 43, 39, 9]	1
[81, 127, 1, 29]	1
[90, 48, 120, 60, 31, 53]	1
[127, 109, 112, 106, 62, 95, 39]	1
[32, 3, 62, 41, 109]	1
[120, 3, 29, 40, 127]	1
[109, 124, 35, 130, 41, 26, 50]	1
[46, 109, 70, 76, 106, 39, 55]	1
[28, 107, 99, 68, 115]	1
[109, 127, 43, 29, 12, 105, 87]	1
[36, 41, 105, 58, 93, 76, 90]	1
[29, 43, 70, 28, 41, 34]	1
[112, 44, 109, 23, 98, 29]	1
[43, 110, 29, 48, 41, 36]	1
[5, 130, 32, 77, 48, 28]	1
[130, 39, 36, 55, 32, 76, 95]	1
[70, 28, 93, 3, 41, 109, 29]	1
[95, 102, 70, 120, 49, 44, 62]	1
